gene,log2FC,t,p,s2,s2_post,fdr
TMEM272,0.5629169999999988,7.464021529046127,0.000298339381874455,0.0113755645139166,0.011375564514422554,0.35191485403001505
AC020916.2,0.7252721499999994,7.36882766442877,0.00032008941197479604,0.019374709452214953,0.019374709452627724,0.3678894308296989
G049770,-0.5123589000000006,-7.187780484490703,0.00036669531704445774,0.010162228463006675,0.010162228463526764,0.4081147250676112
XLOC_006663,-0.8125986000000003,-7.164286020346768,0.0003732978700645203,0.025729793659079143,0.02572979365941788,0.4081147250676112
AC073311.1,-0.5089332000000004,-7.0708206612975655,0.0004009537183961566,0.010361244369376695,0.010361244369894466,0.42791308269974576
IL17REL,0.31233524999999673,6.985350348901277,0.0004283233222071362,0.003998486298791703,0.003998486299383598,0.4452054648233174
USP45,0.9646248249999996,6.95314265509421,0.00043918962095965456,0.03849325042804124,0.03849325042823129,0.4452054648233174
ODF1,-0.5964075750000006,-6.93068624962502,0.00044695354981816174,0.014810298763114557,0.0148102987635805,0.4452054648233174
AL161785.1,-0.3794058749999998,-6.852553795780894,0.00047522236844692,0.0061310264738645565,0.006131026474431608,0.46307320528836404
G074137,-1.000541975,-6.773093607202141,0.000506098932111732,0.04364419284400293,0.04364419284413297,0.46736041699700626
LINC01206,0.4033245000000001,6.766059948848886,0.0005089413367856473,0.007106692444916564,0.007106692445472251,0.46736041699700626
GPN2,-0.518983725,-6.761235028830216,0.0005109017587197329,0.011783801218317949,0.011783801218819149,0.46736041699700626
CATG00000050085.1,-0.5054433500000002,-6.732125491055853,0.0005229149211052766,0.011273806172868316,0.011273806173375457,0.46878276847245837
AC020915.3,0.5194620749999999,6.663667249232994,0.0005524671493725523,0.012153771941302932,0.012153771941799823,0.4783069503442497
AL365318.1,0.8230455249999995,6.580255189060745,0.0005911008925337153,0.031289040030734634,0.03128904003100861,0.4783069503442497
LINC02118,0.7605959250000001,6.531677008645892,0.0006150258496796711,0.02711993115716621,0.02711993115748875,0.4783069503442497
AL512413.1,1.3813893250000002,6.528005146732069,0.0006168789582271907,0.08955734508923623,0.0895573450888314,0.4783069503442497
C21ORF62,0.50967625,6.517925005971312,0.0006219991960954122,0.01222925696383583,0.01222925696433184,0.4783069503442497
AL353616.2,1.0079689750000007,6.484115312322111,0.0006395322883401981,0.048330675599986266,0.048330675600061705,0.4783069503442497
G087265,-0.7002203499999995,-6.4724547330277,0.0006457101954682868,0.02340784368117919,0.023407843681544974,0.4783069503442497
LINC01731,-0.35175545000000064,-6.410612872951807,0.0006796408710976236,0.006021609150898363,0.00602160915146669,0.4783069503442497
XLOC_L2_014302,0.8091196499999995,6.381055321047361,0.0006965771408314872,0.032156625878544974,0.03215662587880884,0.4783069503442497
AL357079.1,0.34647019999999973,6.364255390977274,0.0007064187671939817,0.005927431870449151,0.0059274318710185745,0.4783069503442497
PLA2R1,0.6143565000000004,6.315446654176338,0.0007359279532031264,0.018926171390603343,0.01892617139102134,0.4783069503442497
