cluster,n_cells,score_CD4_T,score_CD8_T,score_NK,score_B,score_Mono_classical,score_Mono_nonclassical,score_DC,score_Platelet,top_markers,called_type
0,2215,0.48529124870617996,0.4684576660143101,0.6630293868982228,0.11236948172544602,1.0786440644700441,0.40289420701773626,0.2939019545640432,0.07152980134822774,MALAT1;MT-RNR2;MT-RNR1;MT-CO1;MT-CO2;MT-CO3;B2M;MT-ATP6;ACTB;MT-CYB;TMSB4X;RPLP1;TMSB10;MT-ND3;HLA-B,Mono_classical
1,5089,1.5953172788835943,0.49728656492387163,0.14748227260144695,0.052776081220747506,0.06836421928893202,0.04970177577258804,0.03156573424724825,0.029068797731229404,MALAT1;MT-RNR2;B2M;RPL41;RPLP1;RPL10;EEF1A1;RPS12;RPL13;RPS18;RPL28;RPL32;RPL30;TMSB4X;RPS8,CD4_T
2,2387,0.5108702279929817,0.1024643326727951,0.11499779428233696,1.4795157324989965,0.06395074425136131,0.08455217116723815,0.10764543058765222,0.03733477606710181,MT-RNR2;MALAT1;CD74;RPL41;RPLP1;B2M;EEF1A1;RPL13;RPL10;RPS18;RPS8;RPS12;RPL32;RPL28;RPL30,B
3,4517,0.5823636602419345,0.0687558138417197,0.07456286747998074,2.173612719196114,0.08594437184615489,0.06636843821993633,0.044924828070137,0.051209186904193335,MT-RNR2;CD74;MALAT1;RPL41;RPL13;RPLP1;RPL10;EEF1A1;RPL30;RPL32;RPS19;RPL18A;RPS12;RPS18;RPS27,B
4,2591,0.02613937448669599,0.5351757305115353,0.034803317692069034,0.03882873528658317,0.12892516187725314,0.3235797854109697,0.3212523634930904,2.5201561847346334,MT-RNR2;NRGN;TMSB4X;ACTB;GPX1;B2M;FTH1;SH3BGRL3;OAZ1;TAGLN2;TUBB1;MT-RNR1;HLA-B;TGFB1;CAVIN2,Platelet
5,5570,0.22297459643696024,1.348070194935616,3.2482248991797427,0.0505468347994285,0.05295624184449386,0.4964231147210844,0.06060487775106044,0.036472061691306,MALAT1;B2M;MT-RNR2;ACTB;GNLY;TMSB4X;NKG7;HLA-B;RPL41;RPL10;RPLP1;MT-CO1;HLA-C;EEF1A1;HLA-A,NK
6,6062,1.0743474284033694,1.993269346362325,1.8495237093004009,0.04926821632749479,0.0864760454438995,0.20225476688587288,0.04885884412807455,0.04155470872772932,MALAT1;MT-RNR2;B2M;RPL41;EEF1A1;RPL10;RPS12;TMSB4X;ACTB;RPL13;RPLP1;HLA-B;RPL30;RPS18;RPL28,CD8_T
7,1273,0.19658203091324553,0.177809515679331,0.19712822956449194,0.10893151426093817,1.6673599133725077,2.8565284407337765,1.428256433193269,0.050384528027690875,FTL;MT-RNR2;FTH1;ACTB;TMSB4X;MALAT1;TMSB10;B2M;RPS19;MT-CO1;RPL41;RPLP1;MT-RNR1;MT-CO2;RPL28,Mono_nonclassical
8,7975,1.599071034277866,0.45453076994212377,0.07627032391536755,0.035407352056065385,0.06245004898868004,0.03934384395425804,0.11814814836583057,0.038001237559864176,MALAT1;MT-RNR2;RPS12;RPL41;RPL10;RPL13;EEF1A1;RPLP1;RPL32;RPL30;RPL28;B2M;RPS18;RPS8;RPS27,CD4_T
9,6805,0.825527141795907,2.1421325392142894,2.7932148779825874,0.03402945193296044,0.059278854722446817,0.2836619485322555,0.042698787638227084,0.0286747315889282,MALAT1;B2M;MT-RNR2;TMSB4X;RPL41;HLA-B;ACTB;RPL10;EEF1A1;RPS12;NKG7;HLA-C;RPS27;TMSB10;RPLP1,NK
10,3572,0.1341982535999632,0.19990997310197942,0.20506754691745754,0.054986023414579734,3.009625665271124,1.3074236660046799,1.3280103524971996,0.08694883128290729,MT-RNR2;FTL;RPLP1;ACTB;S100A9;TMSB4X;TMSB10;S100A8;RPL41;MT-RNR1;RPL13;RPL28;FTH1;S100A6;MT-CO1,Mono_classical
11,3856,0.564106969804563,0.751502626257857,0.9470163686397169,0.21319499259626348,0.4393646403660997,0.2789972202105133,0.23385840277098002,0.28778594436386434,MT-RNR2;MALAT1;MT-RNR1;B2M;RPL41;ACTB;RPLP1;RPL10;TMSB4X;RPL28;EEF1A1;RPS12;RPL30;RPL13;RPL32,NK
