,B,CD4_T,CD8_T,Mono_classical,Mono_nonclassical,NK,Platelet
LC1_post,0.16556291390728478,0.24867549668874173,0.07913907284768212,0.2152317880794702,0.019867549668874173,0.24437086092715232,0.027152317880794703
MY2_post,0.07729541672969292,0.26077749205869005,0.019361669944032673,0.038420813795189836,0.018454091665406142,0.48358795946150357,0.1021025563454848
MY2_pre,0.09663580943779634,0.1984646647098668,0.07021901106344547,0.02777150598329194,0.009257168661097314,0.5795890720252879,0.01806276811921427
WSY1_post,0.20529231944975163,0.19889186090943828,0.13909056171188383,0.09333205961024074,0.013374092472296522,0.242357661444402,0.10766144440198701
WSY1_pre,0.11799529640742842,0.19528018814370285,0.20265996269564512,0.10420890438731653,0.05717297867164058,0.3114102668072338,0.011272402887032682
WXY1_post,0.06923282544774124,0.5066827051590483,0.03742314889067094,0.08072707832130446,0.0005346164127238706,0.28241112002138463,0.022988505747126436
WXY1_pre,0.17738739928675207,0.1887465328226126,0.1517633073570202,0.25016510368511424,0.02654867256637168,0.16365077268524633,0.04173821159688284
