sample,ADORA3,TMIGD3,COL18A1,CD63,LTF,IL6,TNF,IL1B,NFKB1,STAT3
LC1_post,0.0005163998881288129,0.0022527058343903075,0.024673128868216588,0.6663145884134604,0.0,0.0018665452091694182,0.03957631247229345,0.012895869297271843,0.23553378288854537,0.6080330894952686
MY2_post,0.0006507763588475159,0.0015215548013772873,0.028069647276376727,0.4727888506667965,0.0,0.003676476599386045,0.01630010288138285,0.0011666177001803024,0.2111314719894018,0.5358058436764471
MY2_pre,0.0001506010272629034,0.0,0.023597802915228935,0.7048599022020596,0.0,0.004674999973462403,0.03558137919572421,0.00333404497514228,0.2364489341136427,0.6849492092469261
WSY1_post,0.0011129885722469246,0.0016637322196250796,0.03586684326442886,0.5780242732100357,0.0,0.006107072607727894,0.022573340033314182,0.002728911105511211,0.23024399087862293,0.5523993886800405
WSY1_pre,0.000484759232570458,0.0008210875314928872,0.04021467782845314,0.7123964074144697,0.0,0.002142447857587328,0.055188582364261406,0.008856725170729616,0.24275772793240138,0.5324207790204265
WXY1_post,0.0001532210759210785,0.00014162696862528605,0.14231415295714872,0.45537747214677576,0.0008951513102185261,0.0009812711654631,0.06098893487605318,0.009469542160470317,0.3041863466751352,0.6402673677461916
WXY1_pre,0.0014834546159637558,0.0009229619718152415,0.00805203457409255,0.6124528490963457,0.0,0.0036740547373155237,0.07363114156813601,0.028518305191125286,0.28288756371009804,0.5359475513710933
