model,n_immune,n_background,median_t_immune,median_t_background,mean_t_immune,mean_t_background,mwu_p_signed
M0_unadjusted,1195,311319,0.008892672260481588,0.013346958313227204,-0.08190786575763184,-0.030852305660338367,0.2957992452400746
MA_adj_dNeu,1195,311319,0.13517018635786948,0.07726768666303352,0.12306583168257695,0.07899360089398573,0.09791257387432427
MB_adj_3lineage,1195,311319,0.10988790414079182,0.07007784098854172,0.10933904143456673,0.07124450347042494,0.14137834415065936
