perturbagen,n_signatures,n_cell_lines,median_net,max_net,min_fdr,median_z,frac_directional,n_sig_fdr05,rank_percentile
amt,1,1,4.589317241963803,4.589317241963803,0.002220327525561548,9.392012609286041,1.0,1,98.23416506717851
adgre2,1,1,4.585921770128592,4.585921770128592,0.0010427073296614485,10.470018112025114,1.0,1,98.21497120921305
tm4sf5,1,1,4.584727209491373,4.584727209491373,0.0037310010784114183,8.500375699482595,1.0,1,98.1957773512476
npy2r,1,1,4.581716426213102,4.581716426213102,0.002220327525561548,9.425556291184547,1.0,1,98.17658349328215
pdgfrl,1,1,4.578192508323677,4.578192508323677,0.0019892841547368163,9.76358716524046,1.0,1,98.15738963531669
mmp10,1,1,4.563124419504222,4.563124419504222,0.00011349099199461342,14.061036545836556,1.0,1,98.13819577735124
stat4,1,1,4.54777305945724,4.54777305945724,0.00103837319353298,10.490623764756442,1.0,1,98.1190019193858
cdkn2b,1,1,4.546396479288985,4.546396479288985,0.0019892841547368163,9.680233825802002,1.0,1,98.09980806142035
c1orf162,1,1,4.528160886008043,4.528160886008043,0.002220327525561548,9.291642382458205,1.0,1,98.0806142034549
sephs2,1,1,4.528160886008043,4.528160886008043,0.002220327525561548,9.291642382458205,1.0,1,98.06142034548945
ffar3,1,1,4.497304139851189,4.497304139851189,0.003357664650169822,8.71312516771776,1.0,1,98.04222648752399
bag2,1,1,4.486163108790129,4.486163108790129,0.002220327525561548,9.186727368275239,1.0,1,98.02303262955854
ppp1r1b,1,1,4.47577801276784,4.47577801276784,0.002220327525561548,9.160797905734992,1.0,1,98.00383877159308
ubd,1,1,4.47577801276784,4.47577801276784,0.002220327525561548,9.160797905734992,1.0,1,97.98464491362763
pla2g2a,1,1,4.468182674203019,4.468182674203019,0.00014408153029998977,13.4209746436341,1.0,1,97.96545105566219
ada2,1,1,4.461662884280271,4.461662884280271,0.0004392511837346493,11.79427321289989,1.0,1,97.94625719769674
crem,1,1,4.457786631630263,4.457786631630263,0.00011349099199461342,13.892919426416357,1.0,1,97.92706333973129
fntb,1,1,4.454583966714901,4.454583966714901,0.0035535555104197055,8.616930261563445,1.0,1,97.90786948176583
isg15,1,1,4.449371154571457,4.449371154571457,0.0004392511837346493,11.757640421153868,1.0,1,97.88867562380038
gjd3,1,1,4.439191919967973,4.439191919967973,0.003614182994277182,8.5877727044484,1.0,1,97.86948176583493
prdx4,1,1,4.431686744354359,4.431686744354359,0.0004392511837346493,11.698280175068884,1.0,1,97.85028790786949
cx3cl1,1,1,4.430569751862523,4.430569751862523,0.0004392511837346493,11.69605726779567,1.0,1,97.83109404990404
tmem120a,1,1,4.406985278543491,4.406985278543491,0.002220327525561548,9.39881527389932,1.0,1,97.81190019193858
mpp3,1,1,4.375760990592505,4.375760990592505,0.006025865356929482,7.985857411780095,1.0,1,97.79270633397313
mthfd2,1,1,4.3691303908347185,4.3691303908347185,0.0005469581619411296,11.2685965890666,1.0,1,97.77351247600767
mlkl,1,1,4.3513713768157105,4.3513713768157105,0.006025865356929482,7.945330182045342,1.0,1,97.75431861804222
kcnh2,1,1,4.341603238042632,4.341603238042632,0.0058789412063472496,8.03229111352598,1.0,1,97.73512476007677
rab27a,1,1,4.335459143660641,4.335459143660641,0.006079641632928687,7.9096321624099915,1.0,1,97.71593090211132
phkg2,1,1,4.331645667189008,4.331645667189008,0.0019892841547368163,9.651962734374024,1.0,1,97.69673704414588
tspan9,1,1,4.3115025690053255,4.3115025690053255,0.002220327525561548,9.212775552430005,1.0,1,97.67754318618043
myd88,1,1,4.306712497716882,4.306712497716882,0.0019892841547368163,9.63500652572319,1.0,1,97.65834932821497
anxa5,1,1,4.303145078568827,4.303145078568827,0.006230427569745265,7.843328610247904,1.0,1,97.63915547024952
csnk2a1,1,1,4.291765316761088,4.291765316761088,0.006079641632928687,7.9195668438337625,1.0,1,97.61996161228407
kcne2,1,1,4.280346908648023,4.280346908648023,0.002220327525561548,9.134986188456473,1.0,1,97.60076775431862
