term,perturbagen,cell_line,time,dose,n_up,n_down,k_downNdisUP,k_upNdisDOWN,p_rev_up,p_rev_down,or_rev_up,or_rev_down,reversal_score,mimic_score,net_score,p_combined,directional,fdr,z_vs_null,emp_p,library
CPC005 HT29 6H-BRD-K31342827-10.0,brd-k31342827,HT29,6H,10.0,61,56,0,0,1.0,1.0,0.0,0.0,-0.0,0.1470746859789352,-0.1470746859789352,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 HT29 6H-qx 222-10.0,qx 222,HT29,6H,10.0,52,26,0,1,1.0,0.6858468627899699,0.0,0.8734529272701989,0.16377284357838476,-0.0,0.16377284357838476,0.9444803376759113,False,1.0,-0.6402354279650758,0.6704431856047984,chem
CPC005 HT29 6H-dilazep dihydrochloride-10.0,dilazep dihydrochloride,HT29,6H,10.0,58,55,0,1,1.0,0.7253026271272716,0.0,0.7807639666542242,0.13948074947219694,0.46753073115595595,-0.328049981683759,0.9582453842687312,False,1.0,-0.6868265340110402,0.6874375208263912,chem
CPC005 HT29 6H-bibu 1361 dihydrochloride-10.0,bibu 1361 dihydrochloride,HT29,6H,10.0,40,30,1,0,0.31837322969696735,1.0,2.7088122605363987,0.0,0.4970634569006517,-0.0,0.4970634569006517,0.6827612307700588,True,1.0,-0.000999541526336282,0.4051982672442519,chem
CPC005 HT29 6H-purvalanol a-10.0,purvalanol a,HT29,6H,10.0,65,58,0,1,1.0,0.7651538606375023,0.0,0.6945921985815603,0.1162512261443165,-0.0,0.1162512261443165,0.9699689761746659,False,1.0,-0.7313796787516905,0.7074308563812063,chem
CPC005 HT29 6H-nitrofurazone-10.0,nitrofurazone,HT29,6H,10.0,59,54,0,1,1.0,0.731382275965789,0.0,0.7671802396674003,0.13585556839436858,0.4307058561710606,-0.29485028777669203,0.960172552967361,False,1.0,-0.6937794626179611,0.6897700766411197,chem
CPC005 HT29 6H-vorinostat-10.0,vorinostat,HT29,6H,10.0,128,89,0,3,1.0,0.5363608679869017,0.0,1.0717122302158273,0.2705429150808718,0.37814104161419204,-0.10759812653332024,0.8704858426459374,True,1.0,-0.4354553994437623,0.5854715094968344,chem
CPC005 HT29 6H-trifluoperazine dihydrochloride-10.0,trifluoperazine dihydrochloride,HT29,6H,10.0,10,9,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-rhodomyrtoxin b-10.0,rhodomyrtoxin b,MCF7,24H,10.0,79,45,0,2,1.0,0.520708008486312,0.0,1.160482374768089,0.28340574282619463,0.19883252618512057,0.08457321664107406,0.8605042667622493,True,1.0,-0.41078509440897926,0.5768077307564146,chem
CPC005 MCF7 24H-homatropine bromide-10.0,homatropine bromide,MCF7,24H,10.0,30,7,0,0,1.0,1.0,0.0,0.0,-0.0,0.8420663478048985,-0.8420663478048985,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-etoposide-10.0,etoposide,MCF7,24H,10.0,54,89,3,0,0.1027205887609774,1.0,2.784515749190462,0.0,0.9883425000334886,0.8104196710718456,0.1779228289616429,0.33648621952842656,True,1.0,0.9412508011862522,0.15661446184605132,chem
CPC005 MCF7 24H-trichostatin a-10.0,trichostatin a,MCF7,24H,10.0,91,82,1,2,0.6507217833049797,0.5977922125178159,0.9618960524310318,1.0020866773675763,0.41005440159790507,0.7336148536186258,-0.3235604520207207,0.7562810535683481,True,1.0,-0.16787886056935075,0.4708430523158947,chem
CPC005 MCF7 24H-geldanamycin-10.0,geldanamycin,MCF7,24H,10.0,94,54,1,2,0.49901872549289583,0.6155637042819571,1.4765897973445143,0.968944099378882,0.5126101528884329,1.0904719454560414,-0.5778617925676085,0.6697485439266913,True,1.0,0.028818297901783578,0.39053648783738754,chem
CPC005 MCF7 24H-bvt 948-10.0,bvt 948,MCF7,24H,10.0,44,31,0,2,1.0,0.2511692107532274,0.0,2.139455782312925,0.6000335990889489,0.6689490338708721,-0.06891543478192319,0.5981917306989533,True,1.0,0.19649239940274754,0.3338887037654115,chem
CPC005 MCF7 24H-metergoline-10.0,metergoline,MCF7,24H,10.0,10,2,0,0,1.0,1.0,0.0,0.0,-0.0,-0.0,0.0,1.0,False,1.0,-0.9543441206638258,1.0,chem
CPC005 MCF7 24H-penicillic acid-10.0,penicillic acid,MCF7,24H,10.0,19,9,0,0,1.0,1.0,0.0,0.0,-0.0,0.6668330203168664,-0.6668330203168664,1.0,False,1.0,-0.9543441206638258,1.0,chem
