gene,chrom,n_snps,min_p,score
A1BG,19,86,0.0111132,1.9541608697506174
A1BG-AS1,19,72,0.0111132,1.9541608697506174
A1CF,10,302,0.0113191,1.9461881032336534
A2M,12,242,0.00622974,2.2055300783683687
A2M-AS1,12,84,0.00622974,2.2055300783683687
A2ML1,12,384,0.00235234,2.628499906468279
A2MP1,12,169,0.0409421,1.3878298852929074
A3GALT2,1,139,0.00305478,2.5150200614366223
A4GALT,22,357,0.0500541,1.3005603430708201
A4GNT,3,75,0.056119,1.250890076388355
AA06,17,131,0.00558573,2.252920060819776
AAAS,12,83,0.0318215,1.4972793524591166
AACS,12,433,0.00217185,2.663170172831737
AACSP1,5,646,0.00663163,2.178379712469981
AADAC,3,234,0.00196626,2.7063590556292922
AADACL2,3,233,0.0554868,1.255810320823165
AADACL2-AS1,3,1028,0.00196626,2.7063590556292922
AADACL3,1,143,0.0291481,1.5353897491865718
AADACL4,1,162,0.0236587,1.6260091226978415
AADACP1,3,208,0.0176263,1.7538388424496982
AADAT,4,197,0.0455261,1.34173955199853
AAGAB,15,223,0.00555546,2.255279975032636
AAK1,2,659,0.000222551,3.6525704499390583
AAMDC,11,313,0.0185845,1.73084911873086
AAMP,2,85,0.00831611,2.0800797747425577
AANAT,17,164,0.017848,1.7484104427242186
AAR2,20,98,0.0104311,1.9816698911189834
AARD,8,82,0.0516785,1.2866901004924036
AARS1,16,104,0.00833336,2.079179856307506
AARS2,6,153,0.00385123,2.4144005440238354
AARSD1,17,76,0.0254408,1.5944692361791735
AASDH,4,350,0.0520116,1.283899786092828
AASDHPPT,11,116,0.0590473,1.228799956169176
AASS,7,279,0.00511423,2.2912197445371567
AATBC,21,204,0.0143784,1.842289438698029
AATF,17,308,3.95594e-05,4.40275030399764
AATK,17,488,0.00163859,2.7855296998843313
ABALON,20,53,0.0802287,1.095670244908319
ABAT,16,1043,0.00236352,2.626440718365134
ABCA1,9,979,0.00619056,2.2082700627877436
ABCA10,17,401,0.0422493,1.374180482185431
ABCA11P,4,332,0.0126605,1.897549142426641
ABCA12,2,866,0.00850629,2.0702598152202984
ABCA13,7,2649,0.000974765,3.011100073024198
ABCA17P,16,331,0.00213845,2.6699008997106324
ABCA2,9,174,0.0333887,1.476400490014735
ABCA3,16,231,0.00334149,2.4760598342414153
ABCA4,1,750,0.00635316,2.197010207116792
ABCA5,17,363,0.0142066,1.8475098473306903
ABCA6,17,257,0.024312,1.6141793129281135
ABCA7,19,312,0.00578389,2.2377799751961125
ABCA8,17,362,0.00735309,2.1335301183388586
ABCA9,17,350,0.00967498,2.01434992407635
ABCA9-AS1,17,98,0.00967498,2.01434992407635
ABCB1,7,729,0.00282761,2.5485804911014376
ABCB10,1,204,0.00611801,2.2133898174884323
ABCB11,2,600,0.012418,1.9059483444900356
ABCB4,7,343,0.0121781,1.9144204640744114
ABCB5,7,880,0.0113136,1.946399180100089
ABCB6,2,92,0.00506512,2.295410261119006
ABCB8,7,163,0.00117117,2.9313800607745195
ABCB9,12,125,0.00657068,2.1823896829568383
ABCC1,16,1049,0.00207343,2.6833106220443073
ABCC10,6,186,0.0126976,1.896278358197953
ABCC11,16,356,0.0180053,1.7445996381216797
ABCC12,16,104,0.0238051,1.6233299898098457
ABCC13,21,386,0.00413124,2.383919574413873
ABCC2,10,397,0.00148604,2.82796950043717
ABCC3,17,300,0.0149665,1.8248797499847138
ABCC4,13,1753,0.000330765,3.480480451692196
ABCC5,3,490,0.00259006,2.586690175159253
ABCC5-AS1,3,106,0.039317,1.4054196274917667
ABCC6,16,448,0.0118927,1.9247195362993978
ABCC6P1,16,50,0.00139791,2.8545207883625654
ABCC6P2,16,25,0.0227924,1.6422099419596814
ABCC8,11,555,0.00659705,2.180650224326125
ABCC9,12,475,0.00692134,2.159809816198198
ABCD2,12,282,0.0115069,1.939041661098998
ABCD3,1,274,0.00974653,2.011149976105042
ABCD4,14,156,0.000605494,3.2178901560383557
ABCE1,4,75,0.0107932,1.9668497753074268
ABCF1,6,203,0.00833144,2.0792799289647173
ABCF2,7,166,0.0502956,1.298470006580319
ABCF2-H2BE1,7,174,0.0502956,1.298470006580319
ABCF3,3,111,0.0138376,1.8589392275917203
ABCG1,21,631,0.00706122,2.151120257376825
ABCG2,4,714,0.00376331,2.4244300055057644
ABCG4,11,92,0.0201553,1.695610733240281
ABCG5,2,269,0.00944126,2.024970042298216
ABCG8,2,495,0.00944126,2.024970042298216
ABHD1,2,88,0.000179085,3.7469407887464
ABHD10,3,208,0.0303767,1.5174594078805534
ABHD11,7,82,0.0667252,1.1757101157979863
ABHD11-AS1,7,87,0.0667252,1.1757101157979863
ABHD12,20,527,0.00875891,2.0575499361194685
ABHD12B,14,207,0.00303438,2.5179300327882155
ABHD13,13,149,0.0923188,1.0347098493006202
ABHD14A,3,68,0.0696258,1.1572298017487066
ABHD14A-ACY1,3,102,0.0102431,1.98956858738876
ABHD14B,3,64,0.0696258,1.1572298017487066
ABHD15,17,70,0.0165128,1.782179279163273
ABHD16A,6,149,0.0305366,1.5151793197170285
ABHD16B,20,95,0.00111859,2.9513290675075305
ABHD17A,19,96,0.0214259,1.669060926379121
ABHD17B,9,205,0.0136,1.8664610916297826
ABHD17C,15,416,0.00560699,2.25127021845986
ABHD18,4,271,0.0287806,1.540900156404523
ABHD2,15,448,0.0018031,2.7439801866198783
ABHD3,18,175,0.00315137,2.5015006036413765
ABHD4,14,145,0.03971,1.401100112936117
ABHD5,3,260,0.00454151,2.342799725196828
ABHD6,3,396,0.00955564,2.01974022026148
ABHD8,19,188,0.000188582,3.7244997626789655
ABI1,10,676,0.0108014,1.9665199507288034
ABI2,2,352,0.00398584,2.3994801387794764
ABI3,17,145,0.00138682,2.8579799038003206
ABI3BP,3,1179,0.00316213,2.5000202795264888
ABITRAM,9,98,0.00379839,2.420400446088639
ABL1,9,861,0.00203812,2.6907702492777865
ABL2,1,531,0.0103734,1.9840788753153378
ABLIM1,10,1490,0.00314478,2.502409731181499
ABLIM2,4,1214,0.00162024,2.790420650299574
ABLIM3,5,528,0.0136937,1.8634791908378932
ABO,9,503,0.0185016,1.7327907126172946
ABR,17,1708,0.000189073,3.7233704848419835
ABRA,8,108,0.0575056,1.2402898608638282
ABRACL,6,142,0.00993185,2.002969848185558
ABRAXAS1,4,177,0.00156401,2.80576047446611
ABRAXAS2,10,151,0.0695344,1.1578002884446699
ABT1,6,107,0.00377242,2.423379961340827
ABTB1,3,95,0.00522829,2.281640331208794
ABTB2,11,1044,0.00123251,2.909209548377547
ACAA1,3,99,0.00406041,2.3914301113126
ACAA2,18,229,0.00657885,2.181850015550669
ACACA,17,1020,7.19366e-05,4.143050092457636
ACACB,12,745,0.00857887,2.0665699132100195
ACAD10,12,182,0.00723369,2.140640106878541
ACAD11,3,326,0.0342247,1.4656603500286136
ACAD8,11,110,0.00938383,2.027619868617451
ACAD9,3,309,0.00456794,2.340279609193042
ACADL,2,100,0.00814423,2.089149969987625
ACADM,1,325,0.0355558,1.4490895453551194
ACADS,12,193,0.0244754,1.6112702018180534
ACADSB,10,324,0.00678547,2.1684200652721684
ACADVL,17,73,0.0616964,1.2097401764164846
ACAN,15,427,0.00261096,2.5831997815329895
ACAP1,17,131,0.0142233,1.8469996296597195
ACAP2,3,794,0.00612195,2.213110221751551
ACAP3,1,184,0.00208987,2.6798807282614816
ACAT1,11,157,0.00918777,2.0367898851554056
ACAT2,6,192,0.0368019,1.4341297590923878
ACBD3,1,255,0.0076844,2.114390036669353
ACBD3-AS1,1,113,0.0076844,2.114390036669353
ACBD4,17,123,0.0293056,1.5330493824884155
ACBD5,10,683,0.00837703,2.076909929250077
ACBD6,1,1040,0.0167861,1.7750501939883827
ACBD7,10,215,0.00737157,2.132440006072848
ACBD7-DCLRE1CP1,10,705,0.00737157,2.132440006072848
ACCS,11,205,0.0337863,1.4712593660104412
ACCSL,11,188,0.011038,1.9571096102707553
ACD,16,64,0.00568342,2.2453902487691897
ACE,17,155,0.000354503,3.450380085225815
ACER1,19,353,0.0254437,1.5944197337177606
ACER2,9,261,0.000759207,3.1196397963034213
ACER3,11,823,0.00833643,2.0790198921958387
ACHE,7,105,0.075405,1.1225998557162435
ACIN1,14,223,0.000184332,3.7343992647968998
ACKR1,1,142,0.0131735,1.8802988242224092
ACKR2,3,297,0.00589685,2.229379919364948
ACKR3,2,126,0.0051568,2.287619711831741
ACKR4,3,74,0.068182,1.1663302636494508
ACLY,17,233,0.00379071,2.4212794390547625
ACMSD,2,243,0.00193072,2.7142807046111392
ACO1,9,418,0.00160731,2.7939003532892595
ACO2,22,216,0.00851844,2.0696399312220244
ACOD1,13,114,0.00292779,2.533460076900502
ACOT1,14,81,0.000438601,3.3579303824761273
ACOT11,1,635,0.00161135,2.792810116589323
ACOT12,5,393,0.00795078,2.0995902634090564
ACOT13,6,322,0.0153936,1.8126598026959724
ACOT2,14,188,0.00187042,2.7280608623396345
ACOT4,14,148,0.0220506,1.6565795888200001
ACOT6,14,150,0.0186685,1.7288905758856072
ACOT7,1,780,0.0037319,2.4280700021254447
ACOT8,20,179,0.0243899,1.6127899803151018
ACOX1,17,292,0.0266729,1.573929763255447
ACOX2,3,164,0.026267,1.580589525913784
ACOX3,4,563,0.000137189,3.862680709553601
ACOXL,2,1654,0.000556647,3.254420127181104
ACOXL-AS1,2,121,0.00967364,2.0144100787133916
ACP1,2,90,0.0581929,1.2351299995239802
ACP2,11,124,0.00708582,2.149609884178913
ACP3,3,373,0.0136154,1.8659695952170792
ACP4,19,160,0.00813711,2.0895298130359574
ACP5,19,125,0.0126395,1.898270105763753
ACP6,1,197,0.00181748,2.740530359526657
ACP7,19,277,0.0168252,1.774039764644542
ACR,22,103,0.00623261,2.2053300478468225
ACRBP,12,93,0.00184944,2.732959753611412
ACRV1,11,106,0.0257413,1.5893695239207615
ACSBG1,15,371,5.88532e-05,4.230229918469494
ACSBG2,19,538,0.0036111,2.44236048475322
ACSF2,17,226,0.0180248,1.7441295454367312
ACSF3,16,690,0.019767,1.7040592377328012
ACSL1,4,443,0.00936462,2.0285098408462914
ACSL3,2,520,0.00789278,2.1027700023660008
ACSL5,10,281,0.0101861,1.9919920645396747
ACSL6,5,233,0.00516333,2.2870701173314196
ACSM1,16,367,0.0216083,1.6653793992278558
ACSM2A,16,205,0.0593677,1.2264497760134256
ACSM2B,16,269,0.00340079,2.4684201850790437
ACSM3,16,159,0.0272214,1.565089542738881
ACSM4,12,157,0.0273156,1.5635892555620923
ACSM5,16,338,0.0391715,1.4070297976313575
ACSM6,10,271,0.000340643,3.467700531112104
ACSS1,20,274,0.00573443,2.2415097443115113
ACSS2,20,182,0.00393749,2.4047805361738566
ACSS3,12,1091,0.00118793,2.925209149850961
ACTA1,1,113,0.00290228,2.5372606909372584
ACTA2,10,365,0.0092538,2.03367989102966
ACTA2-AS1,10,138,0.000767132,3.115129900797791
ACTB,7,159,0.00321255,2.493150104266062
ACTBL2,5,93,0.057136,1.2430901671512933
ACTC1,15,126,0.0280292,1.5523892975498699
ACTE1P,11,217,0.00416188,2.380710446010299
ACTG1,17,195,0.0118623,1.925831096767273
ACTG1P17,15,159,0.00439764,2.356780325773936
ACTG1P20,1,67,0.0566213,1.2470201636472644
ACTG1P25,1,114,0.0440068,1.3564802104615752
ACTG1P4,1,57,0.0401708,1.3960895192236207
ACTG2,2,232,0.000123957,3.906728943074992
ACTL10,20,42,0.0117953,1.9282910088531895
ACTL6A,3,116,0.00107922,2.966890014958507
ACTL6B,7,111,0.00313415,2.5038802220941787
ACTL7A,9,149,0.00135105,2.8693285782005615
ACTL7B,9,162,0.000960727,3.0174000038374875
ACTL8,1,364,0.000489576,3.3101798803294913
ACTL9,19,90,0.0791316,1.1016500529740447
ACTN1,14,652,0.00113946,2.9433009158405037
ACTN1-AS1,14,111,0.0020641,2.6852692661552164
ACTN2,1,547,0.0283335,1.5476997743394605
ACTN3,11,135,0.0126035,1.899508834278439
ACTN4,19,457,0.00222131,2.653390828261718
ACTR10,14,157,0.119675,0.9219965638460138
ACTR1A,10,172,0.036483,1.43790945680535
ACTR1B,2,59,0.0364477,1.4383298722520244
ACTR2,2,252,0.031286,1.5046499590325966
ACTR3,2,417,0.00104333,2.9815783046977367
ACTR3-AS1,2,375,0.000909034,3.041419872843776
ACTR3B,7,496,0.00400867,2.3969996940807117
ACTR3BP2,2,38,0.00269389,2.5696201418603772
ACTR3BP5,10,201,0.00461987,2.3353702450233094
ACTR3C,7,2207,0.0182134,1.739608974391402
ACTR5,20,288,0.000269985,3.568660363982462
ACTR6,12,166,0.0029902,2.5242997628489716
ACTR8,3,167,0.00506921,2.295059717071709
ACTRT2,1,102,0.0017735,2.7511688071920384
ACTRT3,3,77,0.014717,1.8321807101228682
ACVR1,2,398,0.000264923,3.576880335627004
ACVR1B,12,172,0.0442099,1.3544804674396882
ACVR1C,2,253,0.0187249,1.7275804929643654
ACVR2A,2,337,0.0206253,1.6855997258133328
ACVR2B,3,193,0.0345064,1.462100347625022
ACVR2B-AS1,3,82,0.0440291,1.3562601918747583
ACVRL1,12,167,0.0475718,1.3226504156333279
ACY1,3,88,0.0102431,1.98956858738876
ACY3,11,126,0.0631888,1.1993598921170499
ACYP1,14,110,0.0227908,1.6422404299978768
ACYP2,2,1645,0.00554856,2.2558197133095548
ADA,20,185,0.031286,1.5046499590325966
ADA2,22,427,0.0100983,1.9957517314411612
ADAD1,4,239,0.0100767,1.9966816709101431
ADAD2,16,250,0.0100654,1.9971689615263515
ADAL,15,165,0.00111596,2.9523513717878718
ADAM10,15,650,0.00735766,2.1332602849386384
ADAM11,17,154,0.00332292,2.478480114326699
ADAM12,10,2077,0.000185221,3.7323097753912013
ADAM15,1,77,0.0236244,1.6266392126598892
ADAM17,2,304,0.0137183,1.862699703961863
ADAM18,8,594,0.00453848,2.3430895740466644
ADAM19,5,596,0.00379752,2.420499930205988
ADAM2,8,418,0.0109908,1.9589706949340508
ADAM20,14,174,0.00658537,2.1814198191161607
ADAM20P1,14,239,0.00849376,2.070900014613083
ADAM21,14,157,0.0101253,1.994592100319278
ADAM21P1,14,134,0.0197201,1.7050908870957164
ADAM22,7,767,0.0020347,2.691499614914967
ADAM23,2,725,0.00102365,2.9898485092309635
ADAM28,8,456,0.00473794,2.324410443367139
ADAM29,4,437,0.00598412,2.222999706116976
ADAM30,1,60,0.0437129,1.3593903806021053
ADAM32,8,652,0.000624266,3.204630317822972
ADAM33,20,207,0.0202722,1.693099117808507
ADAM3A,8,487,0.0153162,1.8148489712399105
ADAM3B,16,120,0.0567662,1.245910177014101
ADAM5,8,372,0.00978881,2.009270101030962
ADAM6,14,96,0.036023,1.4434201219109315
ADAM7,8,376,0.0211807,1.6740596910125878
ADAM8,10,193,0.0331375,1.47968025925885
ADAM9,8,435,0.000624266,3.204630317822972
ADAMDEC1,8,93,0.0639116,1.1944203099358275
ADAMTS1,21,141,0.000340283,3.4681597470270558
ADAMTS10,19,227,0.00100921,2.996018454821821
ADAMTS12,5,1694,0.000400313,3.3976003061312405
ADAMTS13,9,365,0.00721456,2.141790150419272
ADAMTS14,10,757,0.0050151,2.2997204028199936
ADAMTS15,11,234,0.0078926,2.102779906848091
ADAMTS16,5,1185,0.00333903,2.47637967894625
ADAMTS17,15,2754,0.00145382,2.837489360908832
ADAMTS18,16,1297,0.0043941,2.3571300637209234
ADAMTS19,5,1180,0.00867102,2.061929812060593
ADAMTS19-AS1,5,91,0.037846,1.421980014967788
ADAMTS2,5,1386,0.00153229,2.814659032692425
ADAMTS20,12,1004,0.00991106,2.0038798947041974
ADAMTS3,4,858,0.00592966,2.226970207876395
ADAMTS4,1,115,0.0141068,1.8505714908491542
ADAMTS5,21,311,0.0015625,2.806179973983887
ADAMTS6,5,1265,0.00375561,2.4253195132222136
ADAMTS7,15,456,0.00160561,2.7943599356555393
ADAMTS7P1,15,110,0.0238919,1.6217493116689417
ADAMTS8,11,187,0.00762325,2.117859837564331
ADAMTS9,3,805,0.0122659,1.9113005802995304
ADAMTS9-AS1,3,187,0.0170935,1.7671690036889653
ADAMTS9-AS2,3,1922,0.00452887,2.3440101454448743
ADAMTSL1,9,2775,0.000179102,3.7468995644350884
ADAMTSL2,9,245,0.0122039,1.9135013596682837
ADAMTSL3,15,1615,0.000608303,3.2158800416987847
ADAMTSL4,1,107,0.0103421,1.985391267256443
ADAMTSL4-AS1,1,123,0.0040831,2.3890099835557277
ADAMTSL5,19,153,0.00145952,2.835789949439156
ADAP1,7,687,0.00226074,2.6457493815105098
ADAP2,17,176,0.00270302,2.5681507408874737
ADAR,1,201,0.00173864,2.7597903330051916
ADARB1,21,793,0.000795903,3.0991398583071925
ADARB2,10,3797,0.000590255,3.2289603253619634
ADARB2-AS1,10,347,0.0168341,1.7738100973027364
ADAT1,16,214,0.00161599,2.7915613310356013
ADAT2,6,178,0.0273565,1.562939467182884
ADAT3,19,151,0.0551493,1.2584599956094056
ADCK1,14,892,0.00321262,2.493140641290379
ADCK2,7,130,0.0358286,1.445770161528378
ADCK5,8,108,0.0120776,1.9180193579591494
ADCY1,7,695,0.00268046,2.5717906692851185
ADCY10,1,641,0.0023159,2.6352801972700823
ADCY10P1,6,278,0.00590487,2.228789659253536
ADCY2,5,1839,0.00116164,2.9349284418573234
ADCY3,2,658,0.0151339,1.820049140038841
ADCY4,14,168,0.0218529,1.6604909216031434
ADCY5,3,649,0.00645937,2.189809837866512
ADCY6,12,110,0.00157373,2.803069776150058
ADCY6-DT,12,68,0.00157373,2.803069776150058
ADCY7,16,250,0.0171684,1.7652701767988457
ADCY8,8,1515,0.000528774,3.2767299074069327
ADCY9,16,997,0.000365267,3.4373895622947406
ADCYAP1,18,154,0.000674202,3.171209963491589
ADCYAP1R1,7,295,0.00263937,2.5784997239539975
ADD1,4,446,0.00691481,2.1602197486111
ADD2,2,616,0.00198504,2.702230737462958
ADD3,10,609,0.0320642,1.493979591234649
ADD3-AS1,10,277,0.0196426,1.70680102719477
ADGB,6,859,0.00395986,2.40232016819122
ADGRA1,10,459,0.00210931,2.675859588399113
ADGRA1-AS1,10,117,0.0328511,1.4834500837622873
ADGRA2,8,211,0.0029067,2.536599789374346
ADGRA3,4,785,0.00293941,2.5317398326688942
ADGRB1,8,461,0.00160876,2.793508740518748
ADGRB2,1,185,0.0370587,1.431109819575378
ADGRB3,6,3394,0.000305415,3.5151096370331896
ADGRD1,12,1295,0.0023538,2.6282304414868203
ADGRD1-AS1,12,183,0.0201563,1.6955891863663295
ADGRE1,19,580,0.00440119,2.3564298824776313
ADGRE2,19,509,0.00630769,2.2001296588113743
ADGRE3,19,385,0.00181322,2.741549499274868
ADGRE4P,19,416,0.000481526,3.3173802581725154
ADGRE5,19,174,0.021753,1.6624808401530247
ADGRF1,6,278,0.0125901,1.8999708203865207
ADGRF2,6,380,0.000267344,3.572929558323064
ADGRF3,2,249,0.00171648,2.765361252500533
ADGRF4,6,242,0.000267344,3.572929558323064
ADGRF5,6,673,0.0153787,1.8130803749824813
ADGRF5-AS1,6,134,0.0153787,1.8130803749824813
ADGRG1,16,444,0.00543501,2.264799652508538
ADGRG3,16,253,0.0172775,1.7625190983589936
ADGRG5,16,287,0.00204569,2.6891601778036045
ADGRG6,6,446,0.00562587,2.2498103075307445
ADGRG7,3,583,0.00164135,2.7847988005063127
ADGRL1,19,279,0.00925635,2.033560232254787
ADGRL2,1,3493,0.00393287,2.405290408844701
ADGRL3,4,3165,2.32681e-05,4.633239078389448
ADGRL3-AS1,4,402,0.000935707,3.0288601215651925
ADGRL4,1,732,0.0285167,1.544900733192949
ADGRV1,5,2473,0.00942996,2.0254901494488986
ADH1A,4,141,0.00788152,2.1033900180493346
ADH1B,4,151,0.00999102,2.000390171658055
ADH1C,4,271,0.00248028,2.6054992886936246
ADH4,4,336,0.00857966,2.0665299222969344
ADH5,4,272,0.00334588,2.4754896390676997
ADH6,4,136,0.0013248,2.877849680559195
ADH7,4,218,0.000204066,3.690229348260017
ADHFE1,8,297,0.00147969,2.829829261220757
ADI1,2,267,0.0230478,1.6373705233528275
ADIG,20,109,0.0148761,1.8275109108923726
ADIPOQ,3,158,0.0882328,1.0543699385534526
ADIPOQ-AS1,3,125,0.0882328,1.0543699385534526
ADIPOR1,1,175,0.0249316,1.6032498494996887
ADIPOR2,12,525,0.00239354,2.620959310344506
ADIRF,10,140,0.0519422,1.2844796598737163
ADK,10,1688,0.000825829,3.083109870409202
ADM,11,86,0.000971046,3.012760196381412
ADM2,22,145,0.00253735,2.5956196224177672
ADM5,19,72,0.00523287,2.281260054288414
ADNP,20,218,0.00145098,2.838338573743863
ADNP-AS1,20,84,0.00151182,2.820499913636576
ADNP2,18,198,0.0665181,1.1770601643127152
ADO,10,73,0.0121118,1.9167913092123579
ADORA1,1,235,0.00565744,2.2473800432604794
ADORA2A,22,137,0.0501857,1.299420013847208
ADORA2A-AS1,22,310,0.0370553,1.4311496663314431
ADORA2B,17,186,0.02711,1.5668704824195145
ADORA3,1,113,0.00439006,2.3575295441107613
ADPGK,15,177,0.011105,1.9544814371155073
ADPGK-AS1,15,146,0.032917,1.4825797525246283
ADPRH,3,143,0.00653612,2.184679982965938
ADPRHL1,13,292,0.00377685,2.422870263111551
ADPRM,17,132,0.0508323,1.2938602394078607
ADPRS,1,66,0.0134357,1.8717397018978887
ADRA1A,8,811,0.00103789,2.983848672426367
ADRA1B,5,310,0.00650234,2.186930325479189
ADRA1D,20,251,0.0540294,1.2673698553024848
ADRA2A,10,82,0.012839,1.8914688011421312
ADRA2B,2,50,0.0125806,1.9002986458164042
ADRA2C,4,117,0.0711214,1.1479997030180118
ADRB1,10,98,0.00762395,2.117819960585273
ADRB2,5,120,0.107923,0.9668859908256163
ADRB3,8,60,0.0109802,1.9593897493116714
ADRM1,20,138,0.0207759,1.6824401537499853
ADSL,22,165,0.00220277,2.6570308469007506
ADSS1,14,212,0.000514837,3.288330249027943
ADSS2,1,226,0.000926275,3.0332600573224378
ADTRP,6,423,0.002776,2.5565805382171827
AEBP1,7,108,0.00226001,2.645889639199851
AEBP2,12,696,0.056273,1.2496999313234245
AEN,15,192,0.0126829,1.8967814317857736
AFAP1,4,1588,0.00199807,2.6993893008541794
AFAP1-AS1,4,404,0.0107228,1.9696917943290884
AFAP1L1,5,319,0.00660298,2.1802600181749363
AFAP1L2,10,515,0.0148515,1.8282296804326965
AFDN,6,683,0.00293218,2.5328093728415304
AFDN-DT,6,97,0.00293218,2.5328093728415304
AFF1,4,893,0.000125719,3.9005990821263725
AFF1-AS1,4,105,0.010493,1.9791003271374636
AFF3,2,2266,0.000884708,3.0532000455892305
AFF4,5,447,0.00579896,2.2366498869129656
AFG1L,6,692,0.00150623,2.822108706685076
AFG3L1P,16,335,0.0170247,1.7689205322488042
AFG3L2,18,298,0.00129667,2.8871705369571328
AFM,4,170,1.61842e-05,4.790908763309441
AFMID,17,288,0.00586827,2.2314899124135352
AFP,4,131,0.0423428,1.37322042679978
AFTPH,2,339,0.0372769,1.4285602113629328
AGA,4,158,0.0505638,1.2961602951485984
AGAP1,2,2629,0.000235082,3.6287806231079323
AGAP1-IT1,2,117,0.0403655,1.3939896636216378
AGAP10P,10,126,0.00673535,2.171639831400653
AGAP11,10,307,0.0256171,1.591470036390063
AGAP12P,10,54,0.0236331,1.6264793073735222
AGAP13P,10,30,0.158369,0.8003298255655005
AGAP14P,10,139,0.0364016,1.438879526903153
AGAP2,12,106,0.0628565,1.2016498051988929
AGAP2-AS1,12,56,0.0628565,1.2016498051988929
AGAP3,7,312,0.00402893,2.394810278126099
AGAP4,10,18,0.0248308,1.605009288097928
AGAP5,10,85,0.0570217,1.2439598391203228
AGAP6,10,109,0.0184991,1.7328493999505834
AGAP7P,10,126,0.0478388,1.3202197228305694
AGAP9,10,1379,0.00205045,2.6881508164710337
AGBL1,15,5763,0.00130095,2.8857393945539984
AGBL1-AS1,15,203,0.00563806,2.2488703066960127
AGBL2,11,279,0.00412183,2.3849099241493383
AGBL3,7,694,0.000247965,3.605609615059146
AGBL4,1,3781,8.76496e-05,4.057250061523286
AGBL4-AS1,1,77,0.0269476,1.5694799077748312
AGBL4-IT1,1,256,8.76496e-05,4.057250061523286
AGBL5,2,90,0.000327914,3.4842400411136416
AGBL5-AS1,2,39,0.037942,1.4208797802984143
AGER,6,106,0.0751017,1.1243502322067092
AGFG1,2,523,0.00622272,2.2060197402642405
AGFG2,7,130,0.00783592,2.105910006538443
AGGF1,5,214,0.00414515,2.3824597490718284
AGK,7,320,0.0135556,1.8678812548505768
AGL,1,447,0.0170722,1.7677105101508843
AGMAT,1,220,0.020166,1.695380237146879
AGMO,7,1929,0.00396817,2.401409730550009
AGO1,1,177,0.00598729,2.2227697058847875
AGO2,8,633,0.0105796,1.975530752062339
AGO3,1,296,0.00846896,2.0721699183579196
AGO4,1,161,0.000266723,3.573939532707587
AGPAT1,6,152,0.00101613,2.993050726431077
AGPAT2,9,127,0.00639116,2.1944203099358273
AGPAT3,21,620,0.00318273,2.4972002022472664
AGPAT4,6,750,0.00811764,2.090570212624577
AGPAT4-IT1,6,84,0.00871806,2.0595801463782974
AGPAT5,8,410,0.00171716,2.7651892366505573
AGPS,2,673,0.00496752,2.303860375678207
AGR2,7,256,0.0288536,1.539799993163499
AGR3,7,265,0.00270813,2.5673304917861826
AGRN,1,348,0.024764,1.6061792046591326
AGRP,16,60,0.0176323,1.7536910335794327
AGT,1,432,0.00583015,2.2343202714272206
AGTPBP1,9,935,0.00995658,2.001889812398652
AGTR1,3,273,0.000400221,3.3977001272319334
AGTRAP,1,142,0.0223018,1.651660083206571
AGXT,2,197,0.00362719,2.4404296945462978
AGXT2,5,339,0.00366446,2.435990014555979
AHCTF1,1,477,0.000261222,3.5829902497696526
AHCTF1P1,2,89,0.0126255,1.8987514137684203
AHCY,20,110,0.0651118,1.1863402985209892
AHCYL1,1,146,0.0218791,1.659970546738641
AHCYL2,7,730,0.000935772,3.0288299538301175
AHDC1,1,157,0.00548946,2.260470375140929
AHI1,6,694,0.012163,1.9149592932578061
AHNAK,11,495,0.0180264,1.744090996308186
AHNAK2,14,347,0.0018769,2.7265588656871866
AHR,7,161,0.0164653,1.7834303519756005
AHRR,5,807,0.0129396,1.8880791487428819
AHSA1,14,158,0.0412088,1.3850100319438952
AHSA2P,2,121,0.023033,1.637649492405152
AHSG,3,143,0.0114112,1.9426686828407582
AHSP,16,116,0.00162952,2.787940304829807
AICDA,12,115,0.0363781,1.4391599875447718
AIDA,1,175,0.00334403,2.475729835067945
AIF1,6,137,0.0184412,1.7342108220881514
AIF1L,9,234,0.0436375,1.3601401381777647
AIFM2,10,197,0.00425491,2.3711096216937877
AIFM3,22,183,0.00288569,2.5397503255365734
AIG1,6,1062,0.00149279,2.8260012828683183
AIM2,1,120,0.0208252,1.6814108190458186
AIMP1,4,202,0.0109391,1.9610184075375263
AIMP2,7,227,0.0267541,1.572609653981744
AIP,11,101,0.0181242,1.741741154039909
AIPL1,17,292,0.00468091,2.329669708985595
AIRE,21,242,0.0159864,1.796249324631535
AIRN,6,104,0.0369309,1.4326101085344798
AJAP1,1,1067,0.0010325,2.9861099396715614
AJM1,9,59,0.0723436,1.1405998834478668
AJUBA,14,87,0.054245,1.2656402864653042
AK1,9,140,0.000553898,3.256570202989319
AK2,1,163,0.00142122,2.847338689566806
AK3,9,379,0.00108593,2.9641981688480348
AK4,1,397,0.0047202,2.3260395994472254
AK5,1,1580,0.00392238,2.406450334199922
AK6,5,102,0.0337404,1.4718497730580073
AK7,14,408,0.000952445,3.021160093748048
AK8,9,748,0.0033024,2.4811703243889016
AK9,6,1027,0.0150789,1.8216303389274224
AKAIN1,18,312,0.00737683,2.1321302247987206
AKAP1,17,324,0.00642259,2.192289801233744
