gene,chrom,n_snps,min_p,score
KRTAP5-8,11,133,0.0583203,1.2341802506707151
KRTAP5-9,11,134,0.0583203,1.2341802506707151
KRTAP5-AS1,11,268,0.00467175,2.330520405734159
KRTAP6-1,21,52,0.015708,1.8038791074016194
KRTAP6-2,21,57,0.0899208,1.0461398379622917
KRTAP6-3,21,54,0.0899208,1.0461398379622917
KRTAP7-1,21,112,0.0413733,1.383279837706549
KRTAP8-1,21,122,0.0364687,1.438079717708681
KRTAP9-1,17,113,0.0221575,1.6544792420236398
KRTAP9-2,17,95,0.00439127,2.3574098592050743
KRTAP9-3,17,144,0.00872549,2.0592101748764313
KRTAP9-4,17,100,0.0374024,1.4271005295290653
KRTAP9-6,17,72,0.0231675,1.6351208283068492
KRTAP9-7,17,80,0.00890102,2.0505602231315803
KRTAP9-8,17,147,0.00872549,2.0592101748764313
KRTAP9-9,17,247,0.00872549,2.0592101748764313
KRTCAP2,1,68,0.00601257,2.220939854412413
KRTCAP3,2,64,0.141144,0.8503375788863564
KRTDAP,19,94,0.0529066,1.2764901471559746
KSR1,17,592,0.00142939,2.8448492605446396
KSR2,12,2604,0.00127002,2.8961894398147154
KTI12,1,63,0.00292759,2.5334897449652267
KTN1,14,654,2.38413e-05,4.622670067411934
KTN1-AS1,14,128,0.0685725,1.1638500168404038
KU-MEL-3,6,77,0.0277767,1.5563193517200957
KXD1,19,141,0.0169231,1.7715200792652863
KY,3,236,0.00216611,2.6643194926876173
KYAT1,9,278,0.0477265,1.3212404132436588
KYAT3,1,316,0.00518072,2.2856098791934754
KYNU,2,831,0.000852747,3.069179799784227
L1TD1,1,373,0.0110431,1.9569089950933327
L2HGDH,14,369,0.0057495,2.2403699216899664
L3HYPDH,14,149,0.0232028,1.6344596034205467
L3MBTL1,20,278,0.0548883,1.260520219975398
L3MBTL2,22,197,0.00121476,2.9155095171038585
L3MBTL2-AS1,22,132,0.00121476,2.9155095171038585
L3MBTL3,6,524,0.00279814,2.5531305601421184
L3MBTL4,18,1811,0.000174201,3.758949356255822
L3MBTL4-AS1,18,35,0.0426982,1.3695904328565836
LACC1,13,194,0.0209031,1.679789301780927
LACRT,12,68,0.0145368,1.8375311846250921
LACTB,15,197,0.0209151,1.679540054614579
LACTB2,8,242,0.0146501,1.834159410852536
LACTB2-AS1,8,328,0.0146501,1.834159410852536
LACTBL1,1,169,0.0313964,1.5031201465053459
LAD1,1,176,0.022347,1.6507807710061109
LAG3,12,78,0.0235907,1.6272591722289893
LAIR1,19,249,0.0235169,1.6286199275629718
LAIR2,19,216,0.00306189,2.5140104156139573
LALBA,12,91,0.00247571,2.6063002291090953
LAMA1,18,997,0.00230707,2.636939228126272
LAMA2,6,2674,0.000329868,3.4816598126677003
LAMA3,18,844,0.0128413,1.8913910078678278
LAMA4,6,635,0.000729004,3.137270088728443
LAMA4-AS1,6,318,0.000729004,3.137270088728443
LAMA5,20,567,0.0140385,1.8526792936680776
